,timestamp,magnitude,depth,MMI_scale,lat,lon,location
141,2019/02/17 22:19:01,2.6,12,Ⅲ,33.29 N ,126.25 E ,제주 서귀포시 서쪽 29km 지역
142,2019/02/13 05:16:13,2.7,21,Ⅰ,38.90 N ,125.86 E ,북한 평양 남동쪽 17km 지역
143,2019/02/10 14:12:38,2.5,21,Ⅰ,36.16 N ,129.85 E ,경북 포항시 북구 동북동쪽 45km 해역
144,2019/02/10 12:53:38,4.1,21,Ⅲ,36.16 N ,129.90 E ,경북 포항시 북구 동북동쪽 50km 해역
145,2019/01/31 19:57:45,2.2,19,Ⅰ,36.53 N ,129.66 E ,경북 영덕군 동북동쪽 29km 해역
146,2019/01/17 21:34:02,2.7,17,Ⅰ,33.94 N ,127.62 E ,전남 여수시 거문도 동남동쪽 30km 해역
147,2019/01/13 21:09:20,2.0,17,Ⅲ,37.02 N ,127.93 E ,충북 충주시 북쪽 3km 지역
148,2019/01/10 05:31:05,2.5,17,Ⅳ,35.79 N ,129.20 E ,경북 경주시 남남서쪽 5km 지역
149,2019/01/09 03:10:23,3.7,18,Ⅰ,37.37 N ,124.23 E ,인천 옹진군 백령도 남남서쪽 76km 해역
150,2019/01/02 13:12:27,2.2,5,Ⅰ,36.77 N ,128.31 E ,경북 문경시 북북동쪽 23km 지역
151,2019/01/02 07:20:29,2.8,12,-,41.30 N ,129.21 E ,북한 함경북도 길주 북북서쪽 40km 지역
152,2019/01/01 06:49:51,3.1,19,Ⅲ,36.53 N ,129.66 E ,경북 영덕군 동북동쪽 29km 해역
153,2018/12/27 03:10:48,2.0,5,Ⅱ,36.99 N ,128.89 E ,경북 봉화군 북동쪽 18km 지역
154,2018/12/21 16:06:12,2.7,12,Ⅲ,35.76 N ,127.95 E ,경남 거창군 북북동쪽 9km 지역
155,2018/12/20 13:23:24,2.0,21,Ⅰ,35.88 N ,129.69 E ,경북 포항시 남구 동남동쪽 33km 해역
156,2018/12/17 02:16:27,2.2,20,Ⅱ,36.53 N ,129.65 E ,경북 영덕군 동북동쪽 28km 해역
157,2018/12/12 03:43:04,2.1,12,Ⅰ,35.72 N ,126.78 E ,전북 부안군 동남동쪽 4km 지역
158,2018/12/09 14:06:18,2.2,19,Ⅱ,35.86 N ,129.69 E ,경북 포항시 남구 동남동쪽 34km 해역
159,2018/12/08 04:16:41,2.4,17,Ⅰ,36.31 N ,128.25 E ,경북 구미시 북북서쪽 23km 지역
160,2018/12/05 08:28:20,2.5,17,Ⅰ,36.45 N ,129.62 E ,경북 영덕군 동쪽 23km 해역
161,2018/12/05 08:01:08,2.1,17,Ⅰ,36.45 N ,129.62 E ,경북 영덕군 동쪽 23km 해역
162,2018/11/29 14:52:39,2.1,17,Ⅰ,37.32 N ,129.69 E ,경북 울진군 북동쪽 44km 해역
163,2018/11/29 03:05:23,3.3,13,Ⅰ,34.94 N ,124.53 E ,전남 신안군 흑산도 서북서쪽 92km 해역
164,2018/11/25 23:27:27,2.1,12,Ⅰ,33.15 N ,126.09 E ,제주 서귀포시 서남서쪽 45km 해역
165,2018/11/25 02:58:33,2.2,-,Ⅰ,38.73 N ,125.92 E ,북한 황해북도 송림 동쪽 25km 지역
166,2018/11/24 08:16:44,2.9,10,Ⅰ,38.70 N ,127.16 E ,북한 강원 평강 북북서쪽 34km 지역
167,2018/11/22 18:36:18,2.2,19,Ⅰ,35.91 N ,129.71 E ,경북 포항시 남구 동남동쪽 33km 해역
168,2018/11/20 14:10:27,2.3,17,Ⅰ,33.52 N ,127.29 E ,전남 여수시 거문도 남쪽 57km 해역
169,2018/11/19 03:34:49,2.1,20,-,36.42 N ,127.30 E ,대전 유성구 북서쪽 8km 지역
170,2018/11/05 12:07:15,3.1,15,Ⅰ,37.85 N ,124.87 E ,인천 옹진군 백령도 남동쪽 20km 해역
171,2018/11/05 12:01:55,3.2,-,Ⅱ,37.80 N ,124.90 E ,인천 옹진군 백령도 남동쪽 26km 해역
172,2018/11/04 17:04:44,2.5,15,Ⅱ,36.08 N ,128.25 E ,경북 김천시 동남동쪽 14km 지역
173,2018/10/25 05:53:46,2.3,16,-,35.76 N ,129.19 E ,경북 경주시 남남서쪽 9km 지역
174,2018/10/24 15:14:21,2.2,7,Ⅰ,38.04 N ,125.37 E ,북한 황해남도 옹진 북쪽 12km 지역
175,2018/10/22 12:09:26,2.1,11,Ⅰ,35.61 N ,124.94 E ,전북 군산시 어청도 서남서쪽 109km 해역
176,2018/10/20 01:22:40,2.6,-,Ⅰ,37.26 N ,129.96 E ,경북 울진군 동북동쪽 58km 해역
177,2018/10/17 03:14:44,2.0,14,Ⅱ,36.16 N ,127.30 E ,충남 논산시 동쪽 18km 지역
178,2018/10/14 14:46:03,2.4,-,Ⅰ,37.49 N ,124.58 E ,인천 옹진군 백령도 남쪽 52km 해역
179,2018/10/12 16:43:00,2.3,13,Ⅰ,38.67 N ,127.18 E ,북한 강원 평강 북북서쪽 30km 지역
180,2018/09/27 12:24:32,2.4,-,Ⅰ,38.74 N ,125.70 E ,북한 황해북도 송림 동쪽 6km 지역
181,2018/09/25 04:05:47,2.5,16,Ⅰ,33.46 N ,125.80 E ,제주 제주시 서쪽 68km 해역
182,2018/09/24 17:38:25,2.8,-,Ⅰ,40.20 N ,127.70 E ,북한 함경남도 신흥 북동쪽 30km 지역
183,2018/09/17 10:52:48,2.4,12,Ⅱ,36.05 N ,129.69 E ,경북 포항시 북구 동쪽 29km 해역
184,2018/09/15 21:45:44,2.4,-,Ⅰ,37.07 N ,129.91 E ,경북 울진군 동쪽 46km 해역
185,2018/09/14 09:08:13,2.2,14,Ⅱ,36.78 N ,128.36 E ,경북 문경시 북동쪽 26km 지역
186,2018/08/29 05:01:29,2.5,11,Ⅰ,37.00 N ,129.32 E ,경북 울진군 서쪽 7km 지역
187,2018/08/24 21:28:24,2.1,18,Ⅰ,34.33 N ,127.42 E ,전남 고흥군 남남동쪽 34km 해역
188,2018/08/24 02:57:16,2.6,12,Ⅰ,37.92 N ,125.68 E ,북한 황해남도 해주 남남서쪽 14km 지역
189,2018/08/15 03:02:02,2.5,26,Ⅰ,37.27 N ,130.63 E ,경북 울릉군 울릉도 남서쪽 34km 해역
190,2018/08/10 21:41:19,2.4,-,Ⅰ,33.21 N ,127.53 E ,제주 서귀포시 동쪽 90km 해역
191,2018/08/09 00:23:08,2.1,-,Ⅰ,37.03 N ,125.27 E ,충남 태안군 서격렬비도 북북서쪽 53km 해역
192,2018/08/09 00:21:24,2.1,-,Ⅰ,37.03 N ,125.30 E ,충남 태안군 서격렬비도 북북서쪽 51km 해역
193,2018/07/22 13:59:11,2.9,13,Ⅰ,33.41 N ,125.91 E ,제주 제주시 서쪽 58km 해역
194,2018/07/21 23:30:47,2.2,13,Ⅱ,34.47 N ,127.25 E ,전남 고흥군 남남서쪽 16km 해역
195,2018/07/20 12:29:33,2.3,21,Ⅰ,35.84 N ,129.79 E ,경북 포항시 남구 동남동쪽 43km 해역
196,2018/07/20 12:14:33,2.4,20,Ⅰ,36.01 N ,126.16 E ,전북 군산시 어청도 남동쪽 21km 해역
197,2018/07/19 05:52:11,2.5,23,Ⅰ,35.83 N ,129.80 E ,경북 포항시 남구 동남동쪽 44km 해역
198,2018/07/17 20:19:12,2.7,-,Ⅳ,35.91 N ,127.81 E ,전북 무주군 남동쪽 17km 지역
199,2018/07/04 04:39:40,2.1,10,-,37.30 N ,127.70 E ,경기 여주시 동쪽 6km 지역
200,2018/07/01 15:33:22,2.2,18,-,37.63 N ,129.48 E ,강원 삼척시 북동쪽 34km 해역
201,2018/06/28 21:03:26,2.2,-,-,36.99 N ,125.25 E ,충남 태안군 서격렬비도 북북서쪽 50km 해역
202,2018/06/28 18:43:00,2.7,9,Ⅲ,38.18 N ,127.34 E ,강원 철원군 북북동쪽 4km 지역
203,2018/06/20 23:06:49,2.1,14,-,34.90 N ,124.81 E ,전남 신안군 흑산면 서북서쪽 66km 해역
204,2018/06/16 21:05:25,2.3,-,-,37.19 N ,129.08 E ,강원 삼척시 남남서쪽 30km 지역
205,2018/06/15 11:10:02,2.1,14,-,36.39 N ,128.49 E ,경북 의성군 서북서쪽 19km 지역
206,2018/06/09 17:38:46,2.3,18,Ⅰ,35.87 N ,129.73 E ,경북 포항시 남구 동남동쪽 37km 해역
207,2018/05/31 16:38:15,2.8,8,-,38.53 N ,127.68 E ,북한 강원 회양 남남동쪽 19km 지역
208,2018/05/31 00:13:22,2.6,17,-,36.22 N ,129.38 E ,경북 포항시 북구 북쪽 20km 지역
209,2018/05/22 00:12:41,2.2,18,-,36.37 N ,129.49 E ,경북 영덕군 동남동쪽 12km 해역
210,2018/05/20 13:58:31,2.0,10,-,34.16 N ,125.61 E ,전남 신안군 흑산면 남남동쪽 56km 해역
211,2018/05/14 02:07:38,2.5,16,-,33.62 N ,125.58 E ,제주 제주시 고산 서북서쪽 65km 해역
212,2018/05/07 01:52:08,2.0,16,-,36.72 N ,128.37 E ,경북 예천군 북서쪽 10km 지역
213,2018/05/04 19:20:49,2.0,12,-,36.10 N ,127.70 E ,충북 영동군 남서쪽 11km 지역
