addrCd,csForCnt,csNatCnt,gungu,resNm,rnum,sido,yyymm
0,2,8912,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201106
0,0,65633,서대문구,서대문형무소역사관,11,서울특별시,201106
0,0,25607,서대문구,서대문자연사박물관,12,서울특별시,201106
0,0,6916,마포구,트릭아이미술관,13,서울특별시,201106
0,419,5840,서초구,헌릉ㆍ인릉,14,서울특별시,201106
0,4998,38306,강남구,선릉·정릉,15,서울특별시,201106
0,27591,335882,송파구,롯데월드,16,서울특별시,201106
0,33502,91527,종로구,창덕궁,1,서울특별시,201107
0,0,10498,종로구,운현궁,2,서울특별시,201107
0,141034,275074,종로구,경복궁,3,서울특별시,201107
0,2415,31333,종로구,창경궁,4,서울특별시,201107
0,17675,25886,종로구,종묘,5,서울특별시,201107
0,0,331836,용산구,국립중앙박물관,6,서울특별시,201107
0,0,116639,종로구,서울역사박물관,7,서울특별시,201107
0,11172,81544,중구,덕수궁,8,서울특별시,201107
0,0,34784,중구,서울시립미술관 본관,9,서울특별시,201107
0,31,3562,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201107
0,0,22029,서대문구,서대문형무소역사관,11,서울특별시,201107
0,0,29552,서대문구,서대문자연사박물관,12,서울특별시,201107
0,0,18544,마포구,트릭아이미술관,13,서울특별시,201107
0,349,2053,서초구,헌릉ㆍ인릉,14,서울특별시,201107
0,4072,22506,강남구,선릉·정릉,15,서울특별시,201107
0,53028,478147,송파구,롯데월드,16,서울특별시,201107
0,39302,134374,종로구,창덕궁,1,서울특별시,201108
0,0,6490,종로구,운현궁,2,서울특별시,201108
0,169329,386264,종로구,경복궁,3,서울특별시,201108
0,3315,48915,종로구,창경궁,4,서울특별시,201108
0,20088,33560,종로구,종묘,5,서울특별시,201108
0,0,554395,용산구,국립중앙박물관,6,서울특별시,201108
0,0,127048,종로구,서울역사박물관,7,서울특별시,201108
0,14866,116552,중구,덕수궁,8,서울특별시,201108
0,0,79331,중구,서울시립미술관 본관,9,서울특별시,201108
0,26,5349,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201108
0,0,90282,서대문구,서대문형무소역사관,11,서울특별시,201108
0,0,45851,서대문구,서대문자연사박물관,12,서울특별시,201108
0,3714,35706,마포구,트릭아이미술관,13,서울특별시,201108
0,463,3571,서초구,헌릉ㆍ인릉,14,서울특별시,201108
0,4714,30516,강남구,선릉·정릉,15,서울특별시,201108
0,60790,658148,송파구,롯데월드,16,서울특별시,201108
0,47017,143467,종로구,창덕궁,1,서울특별시,201109
0,0,35130,종로구,운현궁,2,서울특별시,201109
0,152005,437683,종로구,경복궁,3,서울특별시,201109
0,1982,58076,종로구,창경궁,4,서울특별시,201109
0,22209,35330,종로구,종묘,5,서울특별시,201109
0,0,223776,용산구,국립중앙박물관,6,서울특별시,201109
0,0,106764,종로구,서울역사박물관,7,서울특별시,201109
0,13452,128343,중구,덕수궁,8,서울특별시,201109
0,0,57239,중구,서울시립미술관 본관,9,서울특별시,201109
0,26,8680,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201109
0,0,30466,서대문구,서대문형무소역사관,11,서울특별시,201109
0,0,18775,서대문구,서대문자연사박물관,12,서울특별시,201109
0,1114,9325,마포구,트릭아이미술관,13,서울특별시,201109
0,375,5548,서초구,헌릉ㆍ인릉,14,서울특별시,201109
0,5905,43319,강남구,선릉·정릉,15,서울특별시,201109
0,30581,376451,송파구,롯데월드,16,서울특별시,201109
0,53165,222484,종로구,창덕궁,1,서울특별시,201110
0,0,33436,종로구,운현궁,2,서울특별시,201110
0,164752,518742,종로구,경복궁,3,서울특별시,201110
0,2990,97869,종로구,창경궁,4,서울특별시,201110
0,26324,45339,종로구,종묘,5,서울특별시,201110
0,0,263728,용산구,국립중앙박물관,6,서울특별시,201110
0,0,103723,종로구,서울역사박물관,7,서울특별시,201110
0,18972,137870,중구,덕수궁,8,서울특별시,201110
0,0,76839,중구,서울시립미술관 본관,9,서울특별시,201110
0,47,16681,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201110
0,0,56041,서대문구,서대문형무소역사관,11,서울특별시,201110
0,0,27909,서대문구,서대문자연사박물관,12,서울특별시,201110
0,2046,8386,마포구,트릭아이미술관,13,서울특별시,201110
0,441,7901,서초구,헌릉ㆍ인릉,14,서울특별시,201110
0,6542,44530,강남구,선릉·정릉,15,서울특별시,201110
0,33938,509114,송파구,롯데월드,16,서울특별시,201110
0,62683,160836,종로구,창덕궁,1,서울특별시,201111
0,0,20705,종로구,운현궁,2,서울특별시,201111
0,126301,304318,종로구,경복궁,3,서울특별시,201111
0,3469,61697,종로구,창경궁,4,서울특별시,201111
0,23679,37579,종로구,종묘,5,서울특별시,201111
0,0,199058,용산구,국립중앙박물관,6,서울특별시,201111
0,0,85835,종로구,서울역사박물관,7,서울특별시,201111
0,16045,107467,중구,덕수궁,8,서울특별시,201111
0,0,112560,중구,서울시립미술관 본관,9,서울특별시,201111
0,32,5795,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201111
0,0,39012,서대문구,서대문형무소역사관,11,서울특별시,201111
0,0,27599,서대문구,서대문자연사박물관,12,서울특별시,201111
0,3329,7909,마포구,트릭아이미술관,13,서울특별시,201111
0,441,3413,서초구,헌릉ㆍ인릉,14,서울특별시,201111
0,7176,33425,강남구,선릉·정릉,15,서울특별시,201111
0,30793,454189,송파구,롯데월드,16,서울특별시,201111
0,44722,75991,종로구,창덕궁,1,서울특별시,201112
0,0,11017,종로구,운현궁,2,서울특별시,201112
